-0.61891,-0.15473,-0.85797
-0.53466,-0.16897,-0.83329
-0.4781,-0.24792,-0.77884
-0.3732,-0.28857,-0.8023
-0.32925,-0.40821,-0.86236
-0.28838,-0.46665,-0.88734
-0.29211,-0.52118,-0.85089
-0.27591,-0.57409,-0.79088
-0.27889,-0.64324,-0.72553
-0.23898,-0.67621,-0.6986
-0.22724,-0.69738,-0.66559
-0.18488,-0.70234,-0.65598
-0.17119,-0.71194,-0.63488
-0.13746,-0.71368,-0.6321
-0.12688,-0.72317,-0.61962
-0.1054,-0.72573,-0.61515
-0.10257,-0.73148,-0.60297
-0.090857,-0.73092,-0.59299
-0.094149,-0.73268,-0.57955
-0.086958,-0.73825,-0.57136
-0.091731,-0.74646,-0.56274
-0.083147,-0.75542,-0.55699
-0.085734,-0.76268,-0.54992
-0.075248,-0.76821,-0.54295
-0.07617,-0.77228,-0.53501
-0.067292,-0.77601,-0.52725
-0.070622,-0.77849,-0.51977
-0.067581,-0.78255,-0.51152
-0.074129,-0.78641,-0.50495
-0.071047,-0.78952,-0.49892
-0.56293,-0.083246,-0.89021
-0.44575,-0.094484,-0.87847
-0.4105,-0.19651,-0.81285
-0.30658,-0.22008,-0.82464
-0.29511,-0.35878,-0.8563
-0.25116,-0.42507,-0.87979
-0.26139,-0.50244,-0.86252
-0.2257,-0.54551,-0.82044
-0.24084,-0.62907,-0.74548
-0.18668,-0.6615,-0.71942
-0.19092,-0.68844,-0.6842
-0.14285,-0.68939,-0.67579
-0.14373,-0.70298,-0.65092
-0.10896,-0.70376,-0.64562
-0.10833,-0.71593,-0.6283
-0.0859,-0.71956,-0.6213
-0.088059,-0.72752,-0.60739
-0.074543,-0.72957,-0.59721
-0.080732,-0.73303,-0.5831
-0.070944,-0.74037,-0.57493
-0.077903,-0.74736,-0.56494
-0.066397,-0.75688,-0.55828
-0.071838,-0.76304,-0.55053
-0.059491,-0.76975,-0.54265
-0.063807,-0.77346,-0.53492
-0.054739,-0.77858,-0.52662
-0.060519,-0.77998,-0.51915
-0.056367,-0.7841,-0.51042
-0.06488,-0.78663,-0.50321
-0.061193,-0.78944,-0.49647
-0.43753,-0.0028321,-0.93312
-0.32301,-0.024146,-0.92505
-0.3174,-0.12407,-0.86227
-0.243,-0.14286,-0.85826
-0.24539,-0.26595,-0.8501
-0.19969,-0.34239,-0.87037
-0.20899,-0.47087,-0.87178
-0.16192,-0.5128,-0.84698
-0.17466,-0.59867,-0.77623
-0.12165,-0.63354,-0.73698
-0.13426,-0.66891,-0.70309
-0.095536,-0.67057,-0.689
-0.10467,-0.68969,-0.66676
-0.077564,-0.69425,-0.65531
-0.082867,-0.70796,-0.63696
-0.064252,-0.71485,-0.62573
-0.069374,-0.72397,-0.6113
-0.057722,-0.72949,-0.60015
-0.064056,-0.73497,-0.5871
-0.054706,-0.74432,-0.57752
-0.060536,-0.75054,-0.56713
-0.050147,-0.75973,-0.55812
-0.054824,-0.76496,-0.55014
-0.045195,-0.77217,-0.54093
-0.049695,-0.77621,-0.53399
-0.04334,-0.78175,-0.52486
-0.04901,-0.7832,-0.51799
-0.045789,-0.7869,-0.50843
-0.053641,-0.78775,-0.50116
-0.051034,-0.79051,-0.49354
-0.29942,0.045295,-0.96277
-0.2351,0.016588,-0.95284
-0.24152,-0.060683,-0.90618
-0.19151,-0.081735,-0.8916
-0.19538,-0.169,-0.86276
-0.15556,-0.22956,-0.87251
-0.15582,-0.41994,-0.87614
-0.11175,-0.48229,-0.8603
-0.11324,-0.56518,-0.79893
-0.075984,-0.60837,-0.74803
-0.084874,-0.646,-0.7117
-0.061207,-0.65578,-0.69429
-0.069774,-0.67701,-0.67485
-0.050231,-0.68834,-0.66025
-0.057828,-0.70281,-0.64219
-0.043403,-0.71258,-0.62811
-0.051205,-0.72229,-0.61341
-0.041568,-0.73074,-0.60131
-0.048606,-0.73783,-0.58912
-0.039891,-0.74816,-0.57742
-0.04536,-0.75429,-0.56715
-0.036351,-0.76238,-0.55587
-0.040888,-0.7673,-0.548
-0.033151,-0.77366,-0.53739
-0.038307,-0.77825,-0.53126
-0.033118,-0.78315,-0.52083
-0.039202,-0.78596,-0.5152
-0.03669,-0.78924,-0.50428
-0.044092,-0.7901,-0.49786
-0.042491,-0.79311,-0.48898
-0.21793,0.06469,-0.97557
-0.18099,0.033742,-0.96597
-0.18723,-0.020318,-0.93371
-0.15114,-0.042342,-0.91291
-0.15406,-0.09462,-0.88364
-0.12541,-0.1239,-0.88204
-0.11705,-0.3288,-0.88048
-0.072971,-0.43502,-0.87441
-0.070632,-0.54087,-0.81709
-0.041044,-0.58863,-0.76928
-0.052812,-0.63122,-0.71832
-0.034016,-0.6489,-0.69913
-0.042261,-0.66995,-0.67897
-0.025668,-0.68642,-0.66284
-0.034668,-0.70088,-0.64468
-0.022413,-0.71307,-0.6285
-0.032765,-0.72261,-0.61426
-0.024189,-0.73367,-0.6006
-0.033099,-0.74117,-0.58873
-0.024988,-0.7515,-0.57481
-0.031225,-0.75729,-0.56474
-0.022168,-0.76472,-0.55149
-0.027632,-0.76916,-0.54402
-0.018851,-0.77488,-0.53162
-0.026462,-0.77893,-0.52613
-0.020768,-0.78369,-0.51444
-0.029208,-0.78711,-0.50991
-0.027153,-0.79101,-0.49783
-0.035632,-0.79278,-0.49231
-0.034386,-0.79652,-0.48251
-0.1693,0.067698,-0.98056
-0.14315,0.035951,-0.97162
