0.0523283, 0.0361842, 0.0330587, 0.0301081, 0.127424, 0.12869, 0.0223701, 0.0223399, 0.0374708, 0.0518144
0.0474443, 0.0333448, 0.0310437, 0.0281646, 0.0442064, 0.0763227, 0.0386652, 0.0135858, 0.0343782, 0.0451517
0.0459399, 0.0238065, 0.0259063, 0.0533173, 0.096045, 0.0605311, 0.0135275, 0.0181507, 0.0301427, 0.0381849
0.0499677, 0.0243045, 0.0206064, 0.0194327, 0.0879093, 0.0867812, 0.0241823, 0.0193776, 0.0225198, 0.0331043
0.0275729, 0.0250555, 0.0169243, 0.0284881, 0.0663957, 0.0579494, 0.0222477, 0.019511, 0.0214699, 0.0292866
0.0285862, 0.0237638, 0.0233912, 0.02864, 0.0698617, 0.0526792, 0.0210069, 0.0284325, 0.0259289, 0.0274345
0.034948, 0.0250234, 0.0294961, 0.0144519, 0.0635901, 0.0662453, 0.0281951, 0.0235228, 0.0263831, 0.0414909
0.0346431, 0.026712, 0.0265386, 0.0455938, 0.0725927, 0.0555964, 0.0177336, 0.0175863, 0.0292855, 0.0550103
0.0449907, 0.0244435, 0.0188273, 0.0396034, 0.0523036, 0.0534679, 0.0462953, 0.0307688, 0.0374491, 0.0581584
0.0518119, 0.0267457, 0.0238607, 0.0270903, 0.11951, 0.136596, 0.0510299, 0.0314777, 0.0433412, 0.0483014
